week_start,plan_tier,region,ai_predicted_category,ai_detected_theme,summary,coverage_score,specificity_score,actionability_score,review_notes
2026-03-23,SMB,APAC,billing,invoice_confusion,"SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 4 tickets this week with avg CSAT 3.21, avg resolution 9.1h, and escalation rate 0%. Representative signal: Need help quickly: we appear to have been charged twice this month.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-23,SMB,North America,feature_request,advanced_permissions,"SMB accounts in North America raised repeated advanced_permissions issues under feature_request. Volume reached 4 tickets this week with avg CSAT 3.17, avg resolution 22.2h, and escalation rate 0%. Representative signal: Need help quickly: the current permission model is too coarse for large teams.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-23,SMB,EMEA,billing,invoice_confusion,"SMB accounts in EMEA raised repeated invoice_confusion issues under billing. Volume reached 3 tickets this week with avg CSAT 3.13, avg resolution 10.6h, and escalation rate 33%. Representative signal: We're running into an issue where the invoice does not match what we expected.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-23,SMB,North America,account_management,renewal_changes,"SMB accounts in North America raised repeated renewal_changes issues under account_management. Volume reached 3 tickets this week with avg CSAT 3.68, avg resolution 11.6h, and escalation rate 0%. Representative signal: Hi team, the team needs support updating renewal and contract details.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-23,SMB,North America,onboarding,setup_guidance,"SMB accounts in North America raised repeated setup_guidance issues under onboarding. Volume reached 3 tickets this week with avg CSAT 3.64, avg resolution 13.9h, and escalation rate 0%. Representative signal: Hi team, the initial setup flow leaves our admins unsure what to do next.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-23,SMB,North America,onboarding,training_gap,"SMB accounts in North America raised repeated training_gap issues under onboarding. Volume reached 3 tickets this week with avg CSAT 4.30, avg resolution 9.1h, and escalation rate 0%. Representative signal: Need help quickly: the team still needs onboarding help to use core workflows.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,North America,billing,invoice_confusion,"SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 5 tickets this week with avg CSAT 3.57, avg resolution 9.0h, and escalation rate 0%. Representative signal: Hi team, the invoice does not match what we expected.",4,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,Growth,North America,access,password_reset,"Growth accounts in North America raised repeated password_reset issues under access. Volume reached 4 tickets this week with avg CSAT 3.75, avg resolution 8.2h, and escalation rate 0%. Representative signal: We're running into an issue where password reset emails are looping or arriving late.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,North America,onboarding,training_gap,"SMB accounts in North America raised repeated training_gap issues under onboarding. Volume reached 4 tickets this week with avg CSAT 3.49, avg resolution 13.5h, and escalation rate 25%. Representative signal: Hi team, the team still needs onboarding help to use core workflows.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,APAC,billing,invoice_confusion,"SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 3 tickets this week with avg CSAT 3.01, avg resolution 9.2h, and escalation rate 33%. Representative signal: Hi team, we appear to have been charged twice this month.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,EMEA,access,mfa_lockout,"SMB accounts in EMEA raised repeated mfa_lockout issues under access. Volume reached 3 tickets this week with avg CSAT 3.10, avg resolution 8.1h, and escalation rate 33%. Representative signal: Hi team, users are getting stuck in the MFA flow.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,EMEA,access,sso_role_mapping,"SMB accounts in EMEA raised repeated sso_role_mapping issues under access. Volume reached 3 tickets this week with avg CSAT 3.57, avg resolution 8.5h, and escalation rate 33%. Representative signal: Hi team, SSO provisioning is not mapping users to the right roles.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,EMEA,billing,tax_setup,"SMB accounts in EMEA raised repeated tax_setup issues under billing. Volume reached 3 tickets this week with avg CSAT 3.09, avg resolution 7.1h, and escalation rate 0%. Representative signal: Need help quickly: our VAT and tax settings are not being applied correctly.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,EMEA,onboarding,import_mapping,"SMB accounts in EMEA raised repeated import_mapping issues under onboarding. Volume reached 3 tickets this week with avg CSAT 3.27, avg resolution 14.0h, and escalation rate 33%. Representative signal: Need help quickly: the CSV import keeps mis-mapping our fields.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,EMEA,onboarding,workspace_configuration,"SMB accounts in EMEA raised repeated workspace_configuration issues under onboarding. Volume reached 3 tickets this week with avg CSAT 3.64, avg resolution 12.0h, and escalation rate 0%. Representative signal: Hi team, workspace settings are scattered and hard to complete.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,North America,access,permission_setup,"SMB accounts in North America raised repeated permission_setup issues under access. Volume reached 3 tickets this week with avg CSAT 2.97, avg resolution 10.2h, and escalation rate 100%. Representative signal: Hi team, shared spaces are denying access even after permission changes.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,North America,account_management,contract_update,"SMB accounts in North America raised repeated contract_update issues under account_management. Volume reached 3 tickets this week with avg CSAT 3.64, avg resolution 11.3h, and escalation rate 0%. Representative signal: Need help quickly: contract amendments need too many manual support touches.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-16,SMB,North America,feature_request,bulk_actions,"SMB accounts in North America raised repeated bulk_actions issues under feature_request. Volume reached 3 tickets this week with avg CSAT 3.33, avg resolution 29.9h, and escalation rate 33%. Representative signal: Need help quickly: power users want bulk actions for repetitive admin work.",3,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-09,SMB,EMEA,billing,seat_true_up,"SMB accounts in EMEA raised repeated seat_true_up issues under billing. Volume reached 5 tickets this week with avg CSAT 3.23, avg resolution 7.8h, and escalation rate 0%. Representative signal: Hi team, the seat true-up charge feels higher than our admin dashboard shows.",4,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
2026-03-09,SMB,North America,onboarding,training_gap,"SMB accounts in North America raised repeated training_gap issues under onboarding. Volume reached 5 tickets this week with avg CSAT 3.27, avg resolution 13.1h, and escalation rate 20%. Representative signal: Hi team, the team still needs onboarding help to use core workflows.",4,4,4,"Proxy rubric pass: summary names segment, theme, and operational impact."
