week_start,plan_tier,region,ai_predicted_category,ai_detected_theme,ticket_count,avg_csat,avg_resolution_time_hours,escalated_rate,sample_text,summary
2026-02-16,SMB,North America,billing,invoice_confusion,10,3.438,7.433,0.2,"We're running into an issue where we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in North America and this is not ideal for Atlas Digital Group. happening in prod only. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 10 tickets this week with avg CSAT 3.44, avg resolution 7.4h, and escalation rate 20%. Representative signal: We're running into an issue where we appear to have been charged twice this month."
2026-02-09,SMB,North America,billing,invoice_confusion,10,3.532,7.691,0.1,"Need help quickly: the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in North America and this is not ideal for Nimbus Analytics HQ. same blocker as yesterday. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 10 tickets this week with avg CSAT 3.53, avg resolution 7.7h, and escalation rate 10%. Representative signal: Need help quickly: the invoice does not match what we expected."
2025-09-08,SMB,North America,billing,tax_setup,9,3.448888888888889,7.335555555555555,0.2222222222222222,"Need help quickly: our VAT and tax settings are not being applied correctly. procurement is waiting for a corrected invoice. We're a smb account in North America and this is not ideal for Vista Analytics Group. cc'ing our admin lead. Thanks for flagging this. We have logged the billing issue and are checking VAT, tax. We will update you after reviewing the logs and the account setup. Following up because procurement is waiting for a corrected invoice. We also noticed related keywords: VAT, tax, invoice. Please share ETA if possible.","SMB accounts in North America raised repeated tax_setup issues under billing. Volume reached 9 tickets this week with avg CSAT 3.45, avg resolution 7.3h, and escalation rate 22%. Representative signal: Need help quickly: our VAT and tax settings are not being applied correctly."
2026-01-12,SMB,North America,billing,invoice_confusion,8,2.9,8.64875,0.125,"Need help quickly: the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in North America and this is not ideal for Aster Analytics Inc. seeing this again. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 8 tickets this week with avg CSAT 2.90, avg resolution 8.6h, and escalation rate 12%. Representative signal: Need help quickly: the invoice does not match what we expected."
2026-01-19,SMB,EMEA,billing,invoice_confusion,7,3.3742857142857146,10.851428571428572,0.2857142857142857,"Hi team, the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in EMEA and this is not ideal for Orbit Stack Co. same blocker as yesterday. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible. We've escalated this internally because the invoice does not match what we expected and the account impact is above normal.","SMB accounts in EMEA raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.37, avg resolution 10.9h, and escalation rate 29%. Representative signal: Hi team, the invoice does not match what we expected."
2025-08-18,SMB,North America,billing,invoice_confusion,7,3.1471428571428572,10.90857142857143,0.14285714285714285,"Need help quickly: we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in North America and this is not ideal for Signal Works HQ. pls advise. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.15, avg resolution 10.9h, and escalation rate 14%. Representative signal: Need help quickly: we appear to have been charged twice this month."
2025-09-22,SMB,North America,billing,invoice_confusion,7,3.27,10.4,0.14285714285714285,"We're running into an issue where we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in North America and this is not ideal for Nimbus Analytics HQ. same blocker as yesterday. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.27, avg resolution 10.4h, and escalation rate 14%. Representative signal: We're running into an issue where we appear to have been charged twice this month."
2026-02-23,SMB,APAC,billing,invoice_confusion,7,3.2285714285714286,7.775714285714286,0.0,"Need help quickly: the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in APAC and this is not ideal for North Cloud Solutions. seeing this again. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible.","SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.23, avg resolution 7.8h, and escalation rate 0%. Representative signal: Need help quickly: the invoice does not match what we expected."
2026-02-16,SMB,EMEA,billing,invoice_confusion,7,3.1314285714285717,9.02,0.2857142857142857,"Need help quickly: we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in EMEA and this is not ideal for Vertex Partners Inc. it worked last week. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in EMEA raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.13, avg resolution 9.0h, and escalation rate 29%. Representative signal: Need help quickly: we appear to have been charged twice this month."
2026-01-19,SMB,APAC,billing,invoice_confusion,7,3.457142857142857,8.651428571428571,0.2857142857142857,"Hi team, we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in APAC and this is not ideal for Orbit Stack Group. happening in prod only. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 7 tickets this week with avg CSAT 3.46, avg resolution 8.7h, and escalation rate 29%. Representative signal: Hi team, we appear to have been charged twice this month."
