week_start,plan_tier,region,ai_predicted_category,ai_detected_theme,ticket_count,avg_csat,avg_resolution_time_hours,escalated_rate,sample_text,summary
2026-03-23,SMB,APAC,billing,invoice_confusion,4,3.2125,9.115,0.0,"Need help quickly: we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in APAC and this is not ideal for Harbor Cloud Platform. cc'ing our admin lead. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 4 tickets this week with avg CSAT 3.21, avg resolution 9.1h, and escalation rate 0%. Representative signal: Need help quickly: we appear to have been charged twice this month."
2026-03-23,SMB,North America,feature_request,advanced_permissions,4,3.1725000000000003,22.155,0.0,"Need help quickly: the current permission model is too coarse for large teams. admins are creating workarounds outside the platform. We're a smb account in North America and this is not ideal for Vista Logic Platform. seeing this again. Thanks for flagging this. We have logged the feature_request issue and are checking permissions, roles. We will update you after reviewing the logs and the account setup. Following up because admins are creating workarounds outside the platform. We also noticed related keywords: permissions, roles, admin. Please share ETA if possible.","SMB accounts in North America raised repeated advanced_permissions issues under feature_request. Volume reached 4 tickets this week with avg CSAT 3.17, avg resolution 22.2h, and escalation rate 0%. Representative signal: Need help quickly: the current permission model is too coarse for large teams."
2026-03-23,SMB,EMEA,billing,invoice_confusion,3,3.1266666666666665,10.61,0.3333333333333333,"We're running into an issue where the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in EMEA and this is not ideal for Nimbus Labs Inc. happening in prod only. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible.","SMB accounts in EMEA raised repeated invoice_confusion issues under billing. Volume reached 3 tickets this week with avg CSAT 3.13, avg resolution 10.6h, and escalation rate 33%. Representative signal: We're running into an issue where the invoice does not match what we expected."
2026-03-23,SMB,North America,account_management,renewal_changes,3,3.6833333333333336,11.61,0.0,"Hi team, the team needs support updating renewal and contract details. commercial conversations are stalling. We're a smb account in North America and this is not ideal for Vista Logic Platform. happening in prod only. Thanks for flagging this. We have logged the account_management issue and are checking renewal, contract. We will update you after reviewing the logs and the account setup. Following up because commercial conversations are stalling. We also noticed related keywords: renewal, contract, quote. Please share ETA if possible.","SMB accounts in North America raised repeated renewal_changes issues under account_management. Volume reached 3 tickets this week with avg CSAT 3.68, avg resolution 11.6h, and escalation rate 0%. Representative signal: Hi team, the team needs support updating renewal and contract details."
2026-03-23,SMB,North America,onboarding,setup_guidance,3,3.643333333333333,13.876666666666665,0.0,"Hi team, the initial setup flow leaves our admins unsure what to do next. new users are waiting on configuration steps. We're a smb account in North America and this is not ideal for Atlas Works Co. it worked last week. Thanks for flagging this. We have logged the onboarding issue and are checking setup, checklist. We will update you after reviewing the logs and the account setup. Following up because new users are waiting on configuration steps. We also noticed related keywords: setup, checklist, guide. Please share ETA if possible.","SMB accounts in North America raised repeated setup_guidance issues under onboarding. Volume reached 3 tickets this week with avg CSAT 3.64, avg resolution 13.9h, and escalation rate 0%. Representative signal: Hi team, the initial setup flow leaves our admins unsure what to do next."
2026-03-23,SMB,North America,onboarding,training_gap,3,4.296666666666667,9.143333333333333,0.0,"Need help quickly: the team still needs onboarding help to use core workflows. adoption is slower than expected. We're a smb account in North America and this is not ideal for Vista Analytics Group. screen recording attached. Thanks for flagging this. We have logged the onboarding issue and are checking training, onboarding. We will update you after reviewing the logs and the account setup. Following up because adoption is slower than expected. We also noticed related keywords: training, onboarding, adoption. Please share ETA if possible.","SMB accounts in North America raised repeated training_gap issues under onboarding. Volume reached 3 tickets this week with avg CSAT 4.30, avg resolution 9.1h, and escalation rate 0%. Representative signal: Need help quickly: the team still needs onboarding help to use core workflows."
2026-03-16,SMB,North America,billing,invoice_confusion,5,3.5740000000000003,8.986,0.0,"Hi team, the invoice does not match what we expected. finance is blocking approval until the line items make sense. We're a smb account in North America and this is not ideal for Crescent Logic Solutions. screen recording attached. Thanks for flagging this. We have logged the billing issue and are checking invoice, charge. We will update you after reviewing the logs and the account setup. Following up because finance is blocking approval until the line items make sense. We also noticed related keywords: invoice, charge, line item. Please share ETA if possible.","SMB accounts in North America raised repeated invoice_confusion issues under billing. Volume reached 5 tickets this week with avg CSAT 3.57, avg resolution 9.0h, and escalation rate 0%. Representative signal: Hi team, the invoice does not match what we expected."
2026-03-16,Growth,North America,access,password_reset,4,3.755,8.2275,0.0,"We're running into an issue where password reset emails are looping or arriving late. users cannot get back into the product quickly. We're a growth account in North America and this is not ideal for Beacon Metrics Inc. screen recording attached. Thanks for flagging this. We have logged the access issue and are checking password reset, email. We will update you after reviewing the logs and the account setup. Following up because users cannot get back into the product quickly. We also noticed related keywords: password reset, email, late. Please share ETA if possible.","Growth accounts in North America raised repeated password_reset issues under access. Volume reached 4 tickets this week with avg CSAT 3.75, avg resolution 8.2h, and escalation rate 0%. Representative signal: We're running into an issue where password reset emails are looping or arriving late."
2026-03-16,SMB,North America,onboarding,training_gap,4,3.49,13.525,0.25,"Hi team, the team still needs onboarding help to use core workflows. adoption is slower than expected. We're a smb account in North America and this is not ideal for Orbit Cloud Platform. this is affecting our rollout. Thanks for flagging this. We have logged the onboarding issue and are checking training, onboarding. We will update you after reviewing the logs and the account setup. Following up because adoption is slower than expected. We also noticed related keywords: training, onboarding, adoption. Please share ETA if possible.","SMB accounts in North America raised repeated training_gap issues under onboarding. Volume reached 4 tickets this week with avg CSAT 3.49, avg resolution 13.5h, and escalation rate 25%. Representative signal: Hi team, the team still needs onboarding help to use core workflows."
2026-03-16,SMB,APAC,billing,invoice_confusion,3,3.01,9.206666666666665,0.3333333333333333,"Hi team, we appear to have been charged twice this month. the customer success lead escalated it internally already. We're a smb account in APAC and this is not ideal for Cobalt Systems HQ. pls advise. Thanks for flagging this. We have logged the billing issue and are checking charged twice, duplicate. We will update you after reviewing the logs and the account setup. Following up because the customer success lead escalated it internally already. We also noticed related keywords: charged twice, duplicate, invoice. Please share ETA if possible.","SMB accounts in APAC raised repeated invoice_confusion issues under billing. Volume reached 3 tickets this week with avg CSAT 3.01, avg resolution 9.2h, and escalation rate 33%. Representative signal: Hi team, we appear to have been charged twice this month."
